code_stif_arret;code_stif_res;code_stif_trns;libelle_arret;jour;cat_day;nb_vald;tranche_horaire;validations_horaires;pourc_validations
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;0H-1H;21.694200000000002;1.73
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;10H-11H;65.3334;5.21
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;11H-12H;75.9924;6.06
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;12H-13H;92.4198;7.37
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;13H-14H;83.391;6.65
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;14H-15H;87.78;7.0
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;15H-16H;83.391;6.65
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;16H-17H;85.5228;6.82
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;17H-18H;94.05;7.5
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;18H-19H;97.4358;7.77
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;19H-20H;88.2816;7.04
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;1H-2H;7.524;0.6
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;20H-21H;64.0794;5.11
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;21H-22H;44.0154;3.51
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;22H-23H;35.3628;2.82
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;23H-0H;32.7294;2.61
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;2H-3H;0.7524;0.06
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;3H-4H;0.0;0.0
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;4H-5H;0.1254;0.01
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;5H-6H;11.536800000000001;0.92
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;6H-7H;24.0768;1.92
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;7H-8H;44.8932;3.58
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;8H-9H;53.54579999999999;4.27
689;110;100;PORTE DE CLICHY;2022-01-01;SAHV;1254;9H-10H;60.192;4.8
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;0H-1H;16.265600000000003;0.92
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;10H-11H;70.8968;4.01
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;11H-12H;68.952;3.9
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;12H-13H;88.75359999999999;5.02
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;13H-14H;79.56;4.5
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;14H-15H;78.49920000000002;4.44
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;15H-16H;96.7096;5.47
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;16H-17H;129.7712;7.34
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;17H-18H;182.4576;10.32
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;18H-19H;166.7224;9.43
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;19H-20H;118.456;6.7
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;1H-2H;1.5912;0.09
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;20H-21H;68.952;3.9
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;21H-22H;40.310399999999994;2.28
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;22H-23H;46.3216;2.62
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;23H-0H;40.663999999999994;2.3
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;2H-3H;0.17679999999999998;0.01
689;110;100;PORTE DE CLICHY;2022-02-01;JOHV;1768;3H-4H;0.0;0.0
